"file","panel","n"
"2_1","2_1",11
"2_2","2_1",2
"2_3","2_1",3
"2_4","2_1",1
"2_5","2_1",0
"2_6","2_1",2
"2_7","2_1",3
"2_8","2_1",6
"2_9","2_1",1
"2_10","2_1",6
"2_1","2_2",2
"2_2","2_2",6
"2_3","2_2",2
"2_4","2_2",3
"2_5","2_2",6
"2_6","2_2",4
"2_7","2_2",2
"2_8","2_2",5
"2_9","2_2",2
"2_10","2_2",14
"2_1","2_3",2
"2_2","2_3",11
"2_3","2_3",0
"2_4","2_3",2
"2_5","2_3",1
"2_6","2_3",3
"2_7","2_3",3
"2_8","2_3",3
"2_9","2_3",1
"2_10","2_3",3
"2_1","2_4",2
"2_2","2_4",2
"2_3","2_4",12
"2_4","2_4",2
"2_5","2_4",3
"2_6","2_4",5
"2_7","2_4",5
"2_8","2_4",3
"2_9","2_4",1
"2_10","2_4",7
"2_1","2_5",5
"2_2","2_5",8
"2_3","2_5",0
"2_4","2_5",12
"2_5","2_5",5
"2_6","2_5",2
"2_7","2_5",0
"2_8","2_5",5
"2_9","2_5",4
"2_10","2_5",9
"2_1","2_6",1
"2_2","2_6",3
"2_3","2_6",0
"2_4","2_6",3
"2_5","2_6",11
"2_6","2_6",3
"2_7","2_6",2
"2_8","2_6",5
"2_9","2_6",4
"2_10","2_6",3
"2_1","2_7",5
"2_2","2_7",1
"2_3","2_7",2
"2_4","2_7",5
"2_5","2_7",2
"2_6","2_7",11
"2_7","2_7",1
"2_8","2_7",3
"2_9","2_7",1
"2_10","2_7",2
"2_1","2_8",3
"2_2","2_8",1
"2_3","2_8",0
"2_4","2_8",2
"2_5","2_8",2
"2_6","2_8",2
"2_7","2_8",10
"2_8","2_8",2
"2_9","2_8",2
"2_10","2_8",4
"2_1","2_9",6
"2_2","2_9",4
"2_3","2_9",0
"2_4","2_9",3
"2_5","2_9",5
"2_6","2_9",0
"2_7","2_9",3
"2_8","2_9",13
"2_9","2_9",4
"2_10","2_9",1
"2_1","2_10",4
"2_2","2_10",3
"2_3","2_10",0
"2_4","2_10",3
"2_5","2_10",2
"2_6","2_10",1
"2_7","2_10",0
"2_8","2_10",3
"2_9","2_10",10
"2_10","2_10",5
