"pass","lab","mix","inchikey_2d","rank"
"primary","afekta","1_1","AFBPFSWMIHJQDM",9
"primary","afekta","1_1","AGPKZVBTJJNPAG",1
"primary","afekta","1_1","AVFZOVWCLRSYKC",35
"primary","afekta","1_1","AYFVYJQAPQTCCC",1
"primary","afekta","1_1","CAHKINHBCWCHCF",2
"primary","afekta","1_1","CQOVPNPJLQNMDC",1
"primary","afekta","1_1","DCWXELXMIBXGTH",1
"primary","afekta","1_1","DJJCXFVJDGTHFX",1
"primary","afekta","1_1","DKEXFJVMVGETOO",15
"primary","afekta","1_1","DTERQYGMUDWYAZ",1
"primary","afekta","1_1","FOYHNROGBXVLLX",5
"primary","afekta","1_1","GFFGJBXGBJISGV",1
"primary","afekta","1_1","HXFOXFJUNFFYMO",1
"primary","afekta","1_1","JLTDJTHDQAWBAV",1
"primary","afekta","1_1","JMOXSQYGVIXBBZ",1
"primary","afekta","1_1","JOXIMZWYDAKGHI",1
"primary","afekta","1_1","JYPHNHPXFNEZBR",7
"primary","afekta","1_1","JZKXXXDKRQWDET",2
"primary","afekta","1_1","KDCGOANMDULRCW",1
"primary","afekta","1_1","KDXKERNSBIXSRK",1
"primary","afekta","1_1","KKEYFWRCBNTPAC",9
"primary","afekta","1_1","KNTFCRCCPLEUQZ",3
"primary","afekta","1_1","KPGXRSRHYNQIFN",4
"primary","afekta","1_1","KWIUHFFTVRNATP",1
"primary","afekta","1_1","KZSNJWFQEVHDMF",1
"primary","afekta","1_1","LDCYZAJDBXYCGN",1
"primary","afekta","1_1","LRQKBLKVPFOOQJ",6
"primary","afekta","1_1","LRTFPLFDLJYEKT",13
"primary","afekta","1_1","MOTZDAYCYVMXPC",1
"primary","afekta","1_1","NYHBQMYGNKIUIF",1
"primary","afekta","1_1","OISVCGZHLKNMSJ",1
"primary","afekta","1_1","OTCCIMWXFLJLIA",1
"primary","afekta","1_1","OUYCCCASQSFEME",1
"primary","afekta","1_1","PWKSKIMOESPYIA",1
"primary","afekta","1_1","RHGKLRLOHDJJDR",1
"primary","afekta","1_1","RNVCVTLRINQCPJ",8
"primary","afekta","1_1","ROHFNLRQFUQHCH",2
"primary","afekta","1_1","RQFCJASXJCIDSX",1
"primary","afekta","1_1","RWSXRVCMGQZWBV",1
"primary","afekta","1_1","SMEROWZSTRWXGI",1
"primary","afekta","1_1","SNDPXSYFESPGGJ",8
"primary","afekta","1_1","UFFBMTHBGFGIHF",1
"primary","afekta","1_1","UKAUYVFTDYCKQA",1
"primary","afekta","1_1","VEYYWZRYIYDQJM",2
"primary","afekta","1_1","WGQKYBSKWIADBV",13
"primary","afekta","1_1","XNGIFLGASWRNHJ",3
"primary","afekta","1_1","XUJNEKJLAYXESH",1
"primary","afekta","1_1","ZTVZLYBCZNMWCF",1
"primary","afekta","1_2","AFBPFSWMIHJQDM",9
"primary","afekta","1_2","AVFZOVWCLRSYKC",31
"primary","afekta","1_2","BKAYIFDRRZZKNF",1
"primary","afekta","1_2","CKLJMWTZIZZHCS",1
"primary","afekta","1_2","DLFVBJFMPXGRIB",13
"primary","afekta","1_2","DUUGKQCEGZLZNO",3
"primary","afekta","1_2","FDGQSTZJBFJUBT",1
"primary","afekta","1_2","FOYHNROGBXVLLX",4
"primary","afekta","1_2","FSYKKLYZXJSNPZ",1
"primary","afekta","1_2","GRSZFWQUAKGDAV",1
"primary","afekta","1_2","GSXOAOHZAIYLCY",5
"primary","afekta","1_2","HXXFSFRBOHSIMQ",1
"primary","afekta","1_2","IERHLVCPSMICTF",1
"primary","afekta","1_2","IJCKBIINTQEGLY",1
"primary","afekta","1_2","INCSQLZZXBPATR",4
"primary","afekta","1_2","JBCLFWXMTIKCCB",4
"primary","afekta","1_2","JLTDJTHDQAWBAV",1
"primary","afekta","1_2","JMOXSQYGVIXBBZ",1
"primary","afekta","1_2","JPIJQSOTBSSVTP",1
"primary","afekta","1_2","KDCGOANMDULRCW",1
"primary","afekta","1_2","KPGXRSRHYNQIFN",5
"primary","afekta","1_2","KSMRODHGGIIXDV",1
"primary","afekta","1_2","KTHDTJVBEPMMGL",1
"primary","afekta","1_2","KVQGGLZHHFGHPU",19
"primary","afekta","1_2","KWIUHFFTVRNATP",1
"primary","afekta","1_2","KZSNJWFQEVHDMF",1
"primary","afekta","1_2","LCQLHJZYVOQKHU",1
"primary","afekta","1_2","LRTFPLFDLJYEKT",9
"primary","afekta","1_2","MOTZDAYCYVMXPC",1
"primary","afekta","1_2","NBSCHQHZLSJFNQ",1
"primary","afekta","1_2","NBZBKCUXIYYUSX",3
"primary","afekta","1_2","NIDVTARKFBZMOT",1
"primary","afekta","1_2","OBETXYAYXDNJHR",22
"primary","afekta","1_2","OFCNXPDARWKPPY",16
"primary","afekta","1_2","OISVCGZHLKNMSJ",1
"primary","afekta","1_2","OKJIRPAQVSHGFK",1
"primary","afekta","1_2","OLNJUISKUQQNIM",2
"primary","afekta","1_2","OPTASPLRGRRNAP",1
"primary","afekta","1_2","OTCCIMWXFLJLIA",1
"primary","afekta","1_2","OVBPIULPVIDEAO",1
"primary","afekta","1_2","PLVPPLCLBIEYEA",1
"primary","afekta","1_2","PMZDQRJGMBOQBF",7
"primary","afekta","1_2","QIVBCDIJIAJPQS",1
"primary","afekta","1_2","QNAYBMKLOCPYGJ",3
"primary","afekta","1_2","RFMMMVDNIPUKGG",1
"primary","afekta","1_2","RNVCVTLRINQCPJ",7
"primary","afekta","1_2","UCMIRNVEIXFBKS",2
"primary","afekta","1_2","UFFBMTHBGFGIHF",1
"primary","afekta","1_2","WGQKYBSKWIADBV",14
"primary","afekta","1_2","XIGSAGMEBXLVJJ",1
"primary","afekta","1_2","XQCZBXHVTFVIFE",3
"primary","afekta","1_2","YGPSJZOEDVAXAB",1
"primary","afekta","1_3","AFBPFSWMIHJQDM",10
"primary","afekta","1_3","AVFZOVWCLRSYKC",28
"primary","afekta","1_3","AYEKOFBPNLCAJY",1
"primary","afekta","1_3","CKLJMWTZIZZHCS",1
"primary","afekta","1_3","DCXYFEDJOCDNAF",1
"primary","afekta","1_3","DKEXFJVMVGETOO",8
"primary","afekta","1_3","DOIRQSBPFJWKBE",1
"primary","afekta","1_3","DTERQYGMUDWYAZ",2
"primary","afekta","1_3","FOYHNROGBXVLLX",5
"primary","afekta","1_3","GSXOAOHZAIYLCY",1
"primary","afekta","1_3","GTZCVFVGUGFEME",2
"primary","afekta","1_3","HLKXYZVTANABHZ",1
"primary","afekta","1_3","HSCJRCZFDFQWRP",1
"primary","afekta","1_3","HXXFSFRBOHSIMQ",5
"primary","afekta","1_3","JJMDCOVWQOJGCB",19
"primary","afekta","1_3","JLTDJTHDQAWBAV",1
"primary","afekta","1_3","JMOXSQYGVIXBBZ",1
"primary","afekta","1_3","JSJWCHRYRHKBBW",6
"primary","afekta","1_3","KDCGOANMDULRCW",1
"primary","afekta","1_3","KRKNYBCHXYNGOX",2
"primary","afekta","1_3","KVQGGLZHHFGHPU",14
"primary","afekta","1_3","KWIUHFFTVRNATP",1
"primary","afekta","1_3","KZSNJWFQEVHDMF",15
"primary","afekta","1_3","LEVWYRKDKASIDU",1
"primary","afekta","1_3","LRTFPLFDLJYEKT",13
"primary","afekta","1_3","MOTZDAYCYVMXPC",1
"primary","afekta","1_3","NBSCHQHZLSJFNQ",1
"primary","afekta","1_3","NBZBKCUXIYYUSX",3
"primary","afekta","1_3","NYHBQMYGNKIUIF",1
"primary","afekta","1_3","ODBLHEXUDAPZAU",1
"primary","afekta","1_3","ODHCTXKNWHHXJC",1
"primary","afekta","1_3","ODKSFYDXXFIFQN",1
"primary","afekta","1_3","OISVCGZHLKNMSJ",1
"primary","afekta","1_3","RFMMMVDNIPUKGG",1
"primary","afekta","1_3","RNVCVTLRINQCPJ",9
"primary","afekta","1_3","SBJKKFFYIZUCET",10
"primary","afekta","1_3","SQVRNKJHWKZAKO",1
"primary","afekta","1_3","UFFBMTHBGFGIHF",1
"primary","afekta","1_3","UYTPUPDQBNUYGX",2
"primary","afekta","1_3","VEYYWZRYIYDQJM",1
"primary","afekta","1_3","WGQKYBSKWIADBV",13
"primary","afekta","1_3","WTDRDQBEARUVNC",1
"primary","afekta","1_3","YMAWOPBAYDPSLA",20
"primary","afekta","1_4","AFBPFSWMIHJQDM",8
"primary","afekta","1_4","APGLTERDKORUHK",22
"primary","afekta","1_4","BTCSSZJGUNDROE",25
"primary","afekta","1_4","BZQFBWGGLXLEPQ",1
"primary","afekta","1_4","COLNVLDHVKWLRT",9
