"mixture","lab","polarity","compound","adduct","source","areaUnderTic","xicFwhm","maxIntensity","apex_rt","snr","baseline","noise","n_scans_in_shape","prior_kind","detection"
"1.1","afekta","neg","5-hydroxy-L-tryptophan","[M - H]-","consensus",1538623.77423042,1.79499999996,709043.5625,42.22099999998,10275.2469334267,285.470657348633,68.9772320251465,4,"consensus","detected"
"1.1","afekta","neg","D-alpha-aminobutyric acid","[M - H]-","consensus",NA,NA,NA,84.11200000002,-0.111693484934825,317.952117919922,83.3465366592407,5,"consensus","below_detection"
"1.1","afekta","neg","L-citrulline","[M - H]-","consensus",1080818.00038599,4.18899999996,19076.3203125,28.45699999998,1931.13115604978,250.75,9.74846801757815,5,"consensus","detected"
"1.1","afekta","neg","L-homoserine","[M - H]-","consensus",635770.096858602,4.78699999998,9718.8271484375,27.85900000002,173.596766622263,298.612487792969,54.2649200439453,5,"consensus","detected"
"1.1","afekta","neg","L-lysine","[M - H]-","consensus",99425.9061330505,1.79599999998,42650.4296875,23.67,403.3342680988,312.465057373047,104.96991696167,4,"consensus","detected"
"1.1","afekta","neg","L-valine","[M - H]-","consensus",124998.849967274,11.37,761.427307128906,34.44199999998,7.40136809728836,276.329681396484,65.541616003418,5,"consensus","detected"
"1.1","afekta","neg","N(6)-acetyl-L-lysine","[M - H]-","consensus",1411133.89345322,4.18899999996,67675.3125,30.25300000002,3410.13506050469,265.871292114258,19.7673816467285,4,"consensus","detected"
"1.1","afekta","neg","N-acetyl-L-cysteine","[M - H]-","consensus",NA,NA,NA,78.12799999998,3.76742140079338,609.201538085938,866.02102355957,5,"consensus","below_detection"
"1.1","afekta","neg","N-alpha-acetyl-L-asparagine","[M - H]-","own",4456642.04177399,1.79600000004,1984428.125,27.85900000002,44743.748712558,276.148071289062,44.3447863449097,4,"own","detected"
"1.1","afekta","neg","O(4)-phospho-L-tyrosine","[M - H]-","own",2069287.16511837,13.764,74371.375,35.63899999998,49.4559503606652,6438.66650390625,1373.60030493164,5,"consensus","detected"
"1.1","afekta","neg","alpha-D-glucosamine 6-phosphate","[M - H]-","consensus",1090265.74007153,5.98399999998,66431.171875,27.85900000002,201.314181872956,1066.2724609375,324.690982055664,5,"consensus","detected"
"1.1","afekta","neg","carnosine","[M - H]-","own",967913.532249368,1.79500000002,368459.1875,24.867,10678.7454737455,261.173065185547,34.4795196533203,5,"own","detected"
"1.1","afekta","neg","glutathione","[M - H]-","consensus",747009.375096409,1.197,332256.53125,29.65399999998,3804.52740339425,290.510650634766,87.2555209625244,4,"consensus","detected"
"1.1","afekta","neg","guanosine 5'-monophosphate","[M - H]-","own",1619474.36709989,18.552,48588.0859375,37.434,35.1760775742412,6656.76611328125,1192.04080488281,5,"own","detected"
"1.1","afekta","neg","homocystine","[M - H]-","own",926144.555853933,1.19599999998,445587.9375,26.66200000002,25698.3658199872,254.640625,17.3292457580566,3,"consensus","detected"
"1.1","afekta","neg","uridine 5'-monophosphate","[M - H]-","consensus",2881242.57432121,11.37,98031.8203125,33.24499999998,93.6406825303009,4654.48583984375,997.187674731445,5,"consensus","detected"
"1.2","afekta","neg","(2R)-2-acetamidopropanoic acid","[M - H]-","consensus",5761492.86154686,37.70200000002,1480.330078125,60.63100000002,13.6333621511532,300.777893066406,86.5195372924805,5,"consensus","detected"
"1.2","afekta","neg","D-erythronic acid","[M - H]-","consensus",4192089.42789942,1.197,1764001.875,26.52,10092.2555000879,503.234039306641,174.737811676025,5,"consensus","detected"
"1.2","afekta","neg","IMP","[M - H]-","own",3772822.59925059,5.98400000004,282594.15625,28.914,84.1219958051482,20361.64453125,3117.28828125,5,"own","detected"
"1.2","afekta","neg","L-alpha-aminobutyric acid","[M - H]-","consensus",167299.102345845,1.197,47153.29296875,25.92199999998,296.135618022451,380.716766357422,157.943095513916,4,"consensus","detected"
"1.2","afekta","neg","L-homocitrulline","[M - H]-","own",747683.571742756,1.79599999998,344008.4375,25.92199999998,51033.0552563619,239.183822631836,6.73620758056639,4,"own","detected"
"1.2","afekta","neg","N-acetyl-L-aspartic acid","[M - H]-","consensus",6059595.89750808,1.79500000002,1895081,31.308,8362.98985149893,591.3759765625,226.53257479248,5,"consensus","detected"
"1.2","afekta","neg","N-acetyl-L-glutamine","[M - H]-","own",2348812.2655382,0.598999999979998,1026779.125,28.914,10800.6345690464,327.289459228516,95.0362526367187,4,"own","detected"
"1.2","afekta","neg","NAD zwitterion","[M - H]-","own",578331.256216975,4.18900000002,81626.859375,28.31599999998,363.813634295184,542.131530761719,222.874351593018,5,"own","detected"
"1.2","afekta","neg","cytidine 5'-monophosphate","[M - H]-","consensus",1150143.56490634,13.16600000004,18318.630859375,31.90600000002,40.3835207207969,866.322052001953,432.164122787476,5,"consensus","detected"
"1.3","afekta","neg","2-aminoisobutyric acid","[M - H]-","consensus",131425.719582587,1.197,20972.630859375,25.383,436.519076781924,262.773933410645,47.4431886886597,4,"consensus","detected"
"1.3","afekta","neg","D-alanine","[M - H]-","consensus",91915.7044970126,4.18999999998,22618.0078125,24.78400000002,255.867025470624,278.713134765625,87.3082204971313,3,"consensus","detected"
"1.3","afekta","neg","D-asparagine","[M - H]-","consensus",NA,NA,NA,40.344,3.6336719793333,282.980514526367,41.5818331100464,5,"consensus","below_detection"
"1.3","afekta","neg","D-glucopyranose 6-phosphate","[M - H]-","own",2715778.54568341,5.38599999996,232857.703125,27.777,98.9773167925447,12511.328125,2226.23104101562,5,"consensus","detected"
"1.3","afekta","neg","L-arginine","[M - H]-","own",233682.905243027,1.19600000004,83749.6484375,24.186,8917.79724856004,243.573532104492,9.36397998046875,5,"own","detected"
"1.3","afekta","neg","L-dopa","[M - H]-","own",297599.251670432,1.197,142023.703125,30.16999999998,2464.86838115751,314.321807861328,57.4916625976562,4,"consensus","detected"
"1.3","afekta","neg","L-ornithine","[M - H]-","consensus",44521.6630867466,1.19600000004,18950.6328125,24.186,484.026111665615,275.13362121582,38.5836605529785,4,"consensus","detected"
"1.3","afekta","neg","N(2)-acetyl-L-lysine","[M - H]-","consensus",1263273.7872247,1.79500000002,485785.59375,26.58,23540.6904293623,278.915100097656,20.6241477966309,4,"consensus","detected"
"1.3","afekta","neg","N-acetyl-L-glutamic acid","[M - H]-","consensus",6583659.47555244,49.671,2941.34448242188,55.90300000002,32.1112829703677,309.014709472656,81.9752289367676,5,"consensus","detected"
"1.3","afekta","neg","N-acetyl-beta-neuraminic acid","[M - H]-","consensus",2444910.59548844,16.158,7665.27099609375,33.16300000002,167.39275413801,249.30884552002,44.3027667999267,5,"consensus","detected"
"1.3","afekta","neg","N-carbamoylaspartic acid","[M - H]-","consensus",2182411.0919776,1.79599999998,779969,28.37500000002,4625.65258343974,484.522094726562,168.513407318115,5,"consensus","detected"
"1.3","afekta","neg","UDP","[M - H]-","consensus",NA,NA,NA,57.10000000002,-0.34312392083682,405.818176269531,157.194149047852,5,"consensus","below_detection"
"1.3","afekta","neg","UDP-alpha-D-glucose","[M - H]-","consensus",2332573.69818448,18.55099999998,94501.4453125,37.95,46.0282804041496,8243.6201171875,1874.0179828125,5,"consensus","detected"
"1.3","afekta","neg","guanosine","[M - H]-","consensus",1764050.54520823,36.50500000002,1103.81274414062,60.69100000002,9.97691211695676,258.329879760742,84.7439422607422,3,"consensus","detected"
"1.3","afekta","neg","isocitric acid","[M - H]-","own",3089609.89569573,2.99200000002,547562.875,28.974,369.253385699497,5875.30029296875,1466.98065795898,5,"own","detected"
"1.4","afekta","neg","2'-deoxyadenosine 5'-monophosphate","[M - H]-","own",778804.333059511,1.79499999996,243365.03125,28.40899999998,895.157321980926,755.987167358398,271.023917388916,4,"own","detected"
"1.4","afekta","neg","2'-deoxyguanosine 5'-monophosphate","[M - H]-","own",1802880.05329148,2.99199999996,238311.59375,30.20500000002,172.38990567156,6351.67138671875,1345.55397231445,5,"own","detected"
"1.4","afekta","neg","D-arabinitol","[M - H]-","consensus",874695.437701794,2.39299999998,298374.0625,24.819,4082.66643504106,318.366302490234,73.0051550720215,3,"consensus","detected"
"1.4","afekta","neg","D-lysine","[M - H]-","consensus",91295.2693746381,1.79599999998,36178.68359375,24.22000000002,580.68203557856,263.858322143555,61.8493824005127,4,"consensus","detected"
"1.4","afekta","neg","L-homoarginine","[M - H]-","own",249710.275063154,1.79500000002,80067.359375,24.22000000002,1604.93911884506,257.600006103516,49.7275930480957,4,"own","detected"
"1.4","afekta","neg","N(2)-phenylacetyl-L-glutamine","[M - H]-","own",6838417.27167117,1.79500000002,2962632.5,173.83000000002,47078.4918233602,298.926666259766,62.92328956604,4,"own","detected"
"1.4","afekta","neg","N-acetyl-L-serine","[M - H]-","consensus",1936280.14213764,1.79499999996,912545.3125,28.40899999998,37839.2925537687,276.445007324219,24.1090360290527,4,"consensus","detected"
"1.4","afekta","neg","N-benzoylglycine","[M - H]-","consensus",2876348.47001546,1.79499999996,1219572,164.25499999998,25585.6406906292,308.138000488281,47.6542243652344,4,"consensus","detected"
"1.4","afekta","neg","O-phospho-L-serine","[M - H]-","own",2218292.33400204,34.11099999996,36257.1953125,47.559,21.060229153483,8484.9482421875,1318.70583496094,5,"own","detected"
"1.4","afekta","neg","O-phosphoethanolamine","[M - H]-","consensus",1200459.40343576,1.79500000002,414629.90625,25.41700000002,1346.4630928781,774.952697753906,307.364498693848,4,"consensus","detected"
