"mixture","lab","polarity","extracted","annotated","missing","pct_kept"
"1.1","afekta","pos",359,359,0,100
"1.1","afekta","neg",349,349,0,100
"1.1","cembio","pos",99,99,0,100
"1.1","cembio","neg",96,96,0,100
"1.1","hmgu","pos",1085,1085,0,100
"1.1","hmgu","neg",1061,1061,0,100
"1.1","icl","pos",471,471,0,100
"1.1","icl","neg",475,475,0,100
"1.2","afekta","pos",356,356,0,100
"1.2","afekta","neg",340,340,0,100
"1.2","cembio","pos",209,209,0,100
"1.2","cembio","neg",69,69,0,100
"1.2","hmgu","pos",1073,1073,0,100
"1.2","hmgu","neg",1055,1055,0,100
"1.2","icl","pos",472,472,0,100
"1.2","icl","neg",474,474,0,100
"1.3","afekta","pos",348,348,0,100
"1.3","afekta","neg",329,329,0,100
"1.3","cembio","pos",110,110,0,100
"1.3","cembio","neg",118,118,0,100
"1.3","hmgu","pos",1070,1070,0,100
"1.3","hmgu","neg",1052,1052,0,100
"1.3","icl","pos",471,471,0,100
"1.3","icl","neg",474,474,0,100
"1.4","afekta","pos",351,351,0,100
"1.4","afekta","neg",326,326,0,100
"1.4","cembio","pos",213,213,0,100
"1.4","cembio","neg",189,189,0,100
"1.4","hmgu","pos",1079,1079,0,100
"1.4","hmgu","neg",1053,1053,0,100
"1.4","icl","pos",471,471,0,100
"1.4","icl","neg",474,474,0,100
"1.5","afekta","pos",362,362,0,100
"1.5","afekta","neg",347,347,0,100
"1.5","cembio","pos",213,213,0,100
"1.5","cembio","neg",179,179,0,100
"1.5","hmgu","pos",1080,1080,0,100
"1.5","hmgu","neg",1048,1048,0,100
"1.5","icl","pos",472,472,0,100
"1.5","icl","neg",475,475,0,100
"1.6","afekta","pos",351,351,0,100
"1.6","afekta","neg",333,333,0,100
"1.6","cembio","pos",172,172,0,100
"1.6","cembio","neg",93,93,0,100
"1.6","hmgu","pos",1081,1081,0,100
"1.6","hmgu","neg",1040,1040,0,100
"1.6","icl","pos",474,474,0,100
"1.6","icl","neg",475,475,0,100
"2.1","afekta","pos",363,363,0,100
"2.1","afekta","neg",335,335,0,100
"2.1","cembio","pos",127,127,0,100
"2.1","cembio","neg",214,214,0,100
"2.1","hmgu","pos",1068,1068,0,100
"2.1","hmgu","neg",1046,1046,0,100
"2.1","icl","pos",471,471,0,100
"2.1","icl","neg",473,473,0,100
"2.2","afekta","pos",378,378,0,100
"2.2","afekta","neg",361,361,0,100
"2.2","cembio","pos",323,323,0,100
"2.2","cembio","neg",345,345,0,100
"2.2","hmgu","pos",1073,1073,0,100
"2.2","hmgu","neg",1062,1062,0,100
"2.2","icl","pos",472,472,0,100
"2.2","icl","neg",474,474,0,100
"2.3","afekta","pos",369,369,0,100
"2.3","afekta","neg",343,343,0,100
"2.3","cembio","pos",261,261,0,100
"2.3","cembio","neg",260,260,0,100
"2.3","hmgu","pos",1070,1070,0,100
"2.3","hmgu","neg",1050,1050,0,100
"2.3","icl","pos",472,472,0,100
"2.3","icl","neg",473,473,0,100
"2.4","afekta","pos",373,373,0,100
"2.4","afekta","neg",334,334,0,100
"2.4","cembio","pos",398,398,0,100
"2.4","cembio","neg",300,300,0,100
"2.4","hmgu","pos",1075,1075,0,100
"2.4","hmgu","neg",1041,1041,0,100
"2.4","icl","pos",473,473,0,100
"2.4","icl","neg",474,474,0,100
"2.5","afekta","pos",364,364,0,100
"2.5","afekta","neg",338,338,0,100
"2.5","cembio","pos",246,246,0,100
"2.5","cembio","neg",211,211,0,100
"2.5","hmgu","pos",1058,1058,0,100
"2.5","hmgu","neg",1047,1047,0,100
"2.5","icl","pos",470,470,0,100
"2.5","icl","neg",472,472,0,100
"2.6","afekta","pos",377,377,0,100
"2.6","afekta","neg",361,361,0,100
"2.6","cembio","pos",329,329,0,100
"2.6","cembio","neg",303,303,0,100
"2.6","hmgu","pos",1068,1068,0,100
