"sample","consensus_id","chrom_peak_id_afekta","chrom_peak_id_icl","chrom_peak_id_cembio","chrom_peak_id_hmgu","idx_afekta","idx_hmgu","idx_icl","idx_cembio","n_labs_matched","afekta_detected","hmgu_detected","icl_detected","cembio_detected"
1,17734,"CP022261","CP021634","CP006039","CP010989","CP022261","CP010989","CP021634","CP006039",4,TRUE,TRUE,TRUE,TRUE
1,1681,"CP023997","CP017947","CP006316","CP010900","CP023997","CP010900","CP017947","CP006316",4,TRUE,TRUE,TRUE,TRUE
1,3980,"CP023567","CP018078","CP006320","CP010919","CP023567","CP010919","CP018078","CP006320",4,TRUE,TRUE,TRUE,TRUE
1,12465,"CP024817","CP018281","CP006339","CP010832","CP024817","CP010832","CP018281","CP006339",4,TRUE,TRUE,TRUE,TRUE
1,12497,"CP024521","CP018448","CP007085","CP011046","CP024521","CP011046","CP018448","CP007085",4,TRUE,TRUE,TRUE,TRUE
1,12888,"CP031275","CP024794","CP010633","CP011533","CP031275","CP011533","CP024794","CP010633",4,TRUE,TRUE,TRUE,TRUE
1,12974,"CP024588","CP018504","CP006818","CP011059","CP024588","CP011059","CP018504","CP006818",4,TRUE,TRUE,TRUE,TRUE
1,13006,"CP021679","CP018419","CP006578","CP011031","CP021679","CP011031","CP018419","CP006578",4,TRUE,TRUE,TRUE,TRUE
1,14575,"CP024904","CP018828","CP007168","CP011093","CP024904","CP011093","CP018828","CP007168",4,TRUE,TRUE,TRUE,TRUE
1,14626,"CP024832","CP018806","CP007122","CP011063","CP024832","CP011063","CP018806","CP007122",4,TRUE,TRUE,TRUE,TRUE
1,15182,"CP025091","CP018797","CP007193","CP011072","CP025091","CP011072","CP018797","CP007193",4,TRUE,TRUE,TRUE,TRUE
1,15453,"CP024771","CP018459","CP006967","CP011034","CP024771","CP011034","CP018459","CP006967",4,TRUE,TRUE,TRUE,TRUE
1,15504,"CP030254","CP020588","CP009223","CP012159","CP030254","CP012159","CP020588","CP009223",4,TRUE,TRUE,TRUE,TRUE
1,15901,"CP023825","CP018941","CP006969","CP010909","CP023825","CP010909","CP018941","CP006969",4,TRUE,TRUE,TRUE,TRUE
1,16257,"CP029307","CP024356","CP009435","CP012319","CP029307","CP012319","CP024356","CP009435",4,TRUE,TRUE,TRUE,TRUE
1,16265,"CP021935","CP017873","CP006086","CP010952","CP021935","CP010952","CP017873","CP006086",4,TRUE,TRUE,TRUE,TRUE
1,16290,"CP025590","CP019142","CP007294","CP011289","CP025590","CP011289","CP019142","CP007294",4,TRUE,TRUE,TRUE,TRUE
1,16438,"CP031203","CP021493","CP010252","CP012360","CP031203","CP012360","CP021493","CP010252",4,TRUE,TRUE,TRUE,TRUE
1,16499,"CP023608","CP018603","CP006863","CP010836","CP023608","CP010836","CP018603","CP006863",4,TRUE,TRUE,TRUE,TRUE
1,16635,"CP027156","CP024171","CP008268","CP011483","CP027156","CP011483","CP024171","CP008268",4,TRUE,TRUE,TRUE,TRUE
1,16852,"CP025606","CP019301","CP007295","CP011290","CP025606","CP011290","CP019301","CP007295",4,TRUE,TRUE,TRUE,TRUE
1,16905,"CP028334","CP020477","CP009067","CP012053","CP028334","CP012053","CP020477","CP009067",4,TRUE,TRUE,TRUE,TRUE
1,17363,"CP022171","CP018250","CP006276","CP010717","CP022171","CP010717","CP018250","CP006276",4,TRUE,TRUE,TRUE,TRUE
1,17407,"CP025281","CP018939","CP007215","CP011147","CP025281","CP011147","CP018939","CP007215",4,TRUE,TRUE,TRUE,TRUE
1,17485,"CP031243","CP022565","CP010218","CP012611","CP031243","CP012611","CP022565","CP010218",4,TRUE,TRUE,TRUE,TRUE
1,17931,"CP024922","CP019373","CP006428","CP011110","CP024922","CP011110","CP019373","CP006428",4,TRUE,TRUE,TRUE,TRUE
1,17932,"CP026018","CP019369","CP007332","CP011298","CP026018","CP011298","CP019369","CP007332",4,TRUE,TRUE,TRUE,TRUE
1,17974,"CP025825","CP019338","CP007318","CP011295","CP025825","CP011295","CP019338","CP007318",4,TRUE,TRUE,TRUE,TRUE
