"lab","polarity","sample","n_peaks"
"afekta","neg",20,7348
"afekta","neg",21,7671
"afekta","neg",22,6495
"afekta","neg",23,7172
"afekta","neg",24,6756
"afekta","neg",25,6271
"afekta","neg",26,9245
"afekta","neg",27,8833
"afekta","neg",28,11822
"afekta","neg",29,10519
"afekta","neg",30,8746
"afekta","neg",31,10670
"afekta","neg",32,9927
"afekta","neg",33,9041
"afekta","neg",34,9282
"afekta","neg",35,9897
"afekta","neg",36,9700
"afekta","neg",37,9488
"afekta","neg",38,9558
"afekta","pos",1,10344
"afekta","pos",2,10840
"afekta","pos",3,9227
"afekta","pos",4,9790
"afekta","pos",5,9695
"afekta","pos",6,9035
"afekta","pos",7,12981
"afekta","pos",8,11051
"afekta","pos",9,15255
"afekta","pos",10,13377
"afekta","pos",11,14131
"afekta","pos",12,13141
"afekta","pos",13,12909
"afekta","pos",14,12167
"afekta","pos",15,11924
"afekta","pos",16,12476
"afekta","pos",17,11648
"afekta","pos",18,14880
"afekta","pos",19,12984
"cembio","neg",20,5163
"cembio","neg",21,5073
"cembio","neg",22,4854
"cembio","neg",23,5193
"cembio","neg",24,5077
"cembio","neg",25,4278
"cembio","neg",26,6318
"cembio","neg",27,5690
"cembio","neg",28,7447
"cembio","neg",29,6597
"cembio","neg",30,6411
"cembio","neg",31,7518
"cembio","neg",32,7337
"cembio","neg",33,5707
"cembio","neg",34,5666
"cembio","neg",35,6508
"cembio","neg",36,5434
"cembio","neg",37,5507
"cembio","neg",38,5188
"cembio","pos",1,5015
"cembio","pos",2,4879
"cembio","pos",3,4638
"cembio","pos",4,4910
"cembio","pos",5,4402
"cembio","pos",6,4035
"cembio","pos",7,5446
"cembio","pos",8,5180
"cembio","pos",9,6614
"cembio","pos",10,5908
"cembio","pos",11,5663
"cembio","pos",12,6000
"cembio","pos",13,6236
"cembio","pos",14,5486
"cembio","pos",15,4581
"cembio","pos",16,5256
"cembio","pos",17,5144
"cembio","pos",18,6740
"cembio","pos",19,6393
"hmgu","neg",20,3219
"hmgu","neg",21,3116
"hmgu","neg",22,2288
"hmgu","neg",23,2730
"hmgu","neg",24,2873
"hmgu","neg",25,2578
"hmgu","neg",26,3140
"hmgu","neg",27,3812
"hmgu","neg",28,3630
"hmgu","neg",29,2712
"hmgu","neg",30,4188
"hmgu","neg",31,3925
"hmgu","neg",32,3101
"hmgu","neg",33,2803
"hmgu","neg",34,4035
"hmgu","neg",35,3218
"hmgu","neg",36,2780
"hmgu","neg",37,3432
"hmgu","neg",38,3529
"hmgu","pos",1,2029
"hmgu","pos",2,1876
"hmgu","pos",3,1780
"hmgu","pos",4,2111
"hmgu","pos",5,1858
"hmgu","pos",6,1832
"hmgu","pos",7,2533
"hmgu","pos",8,2080
"hmgu","pos",9,1860
"hmgu","pos",10,1894
"hmgu","pos",11,2125
"hmgu","pos",12,3397
"hmgu","pos",13,2357
"hmgu","pos",14,1813
"hmgu","pos",15,2753
"hmgu","pos",16,2450
"hmgu","pos",17,2684
"hmgu","pos",18,3509
"hmgu","pos",19,3440
"icl","neg",20,5574
"icl","neg",21,5062
"icl","neg",22,5201
"icl","neg",23,4314
"icl","neg",24,4974
"icl","neg",25,3948
"icl","neg",26,7444
"icl","neg",27,5992
"icl","neg",28,10421
"icl","neg",29,7733
"icl","neg",30,7975
"icl","neg",31,10832
"icl","neg",32,9190
"icl","neg",33,6337
"icl","neg",34,5856
"icl","neg",35,7734
"icl","neg",36,12244
"icl","neg",37,12008
"icl","neg",38,8784
"icl","pos",1,9892
"icl","pos",2,9541
"icl","pos",3,8897
"icl","pos",4,9627
"icl","pos",5,9091
"icl","pos",6,9840
"icl","pos",7,9360
"icl","pos",8,9734
"icl","pos",9,14608
"icl","pos",10,11347
"icl","pos",11,12442
"icl","pos",12,13678
"icl","pos",13,12473
"icl","pos",14,10409
"icl","pos",15,8626
"icl","pos",16,11081
"icl","pos",17,13604
"icl","pos",18,17002
"icl","pos",19,14158
