"mixture","lab","polarity","xcms_fts","compound","inchikey_2d","rt_sec","ionMass","adduct","cosmic"
"1.1","afekta","pos","16","L-citrulline","RHGKLRLOHDJJDR",26.85650000001,176.10237121582,"[M + H]+",0.807140227834568
"1.1","afekta","pos","17","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",27.59000000001,189.122779846191,"[M + H]+",0.772444961417617
"1.1","afekta","pos","18","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",28.542,189.122779846191,"[M + H]+",0.284461485065954
"1.1","afekta","pos","19","N-alpha-acetyl-L-asparagine","HXFOXFJUNFFYMO",29.7375,175.070541381836,"[M + H]+",0.0339176543218557
"1.1","afekta","pos","34","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN",45.507,221.091354370117,"[M + H]+",0.878139608307937
"1.1","afekta","pos","35","L-valine","KZSNJWFQEVHDMF",46.9305,118.08558602529,"[M + H]+",0.118842006526231
"1.1","afekta","pos","36","L-valine","KZSNJWFQEVHDMF",48.95499999999,118.08558602529,"[M + H]+",0.212978036964962
"1.1","afekta","pos","50","L-valine","KZSNJWFQEVHDMF",85.67299999998,118.08558602529,"[M + H]+",0.620861737224501
"1.1","afekta","pos","186","L-valine","KZSNJWFQEVHDMF",458.2845,118.08558602529,"[M + H]+",0.222747056845522
"1.1","afekta","pos","194","L-valine","KZSNJWFQEVHDMF",477.0705,118.08558602529,"[M + H]+",0.158840682704825
"1.1","afekta","pos","202","L-valine","KZSNJWFQEVHDMF",496.66549999998,118.08558602529,"[M + H]+",0.211823395851984
"1.1","afekta","pos","228","L-valine","KZSNJWFQEVHDMF",545.56700000001,118.08558602529,"[M + H]+",0.206662897483717
"1.1","afekta","pos","256","L-valine","KZSNJWFQEVHDMF",594.66799999998,118.08558602529,"[M + H]+",0.130068209147949
"1.1","afekta","neg","381","carnosine","CQOVPNPJLQNMDC",26.271,225.097412109375,"[M - H]-",0.749895872108442
"1.1","afekta","neg","382","homocystine","ZTVZLYBCZNMWCF",27.2175,267.045623779297,"[M - H]-",0.261498575713377
"1.1","afekta","neg","388","N-alpha-acetyl-L-asparagine","HXFOXFJUNFFYMO",29.24200000002,173.055229187012,"[M - H]-",0.886885008326329
"1.1","afekta","neg","391","guanosine 5'-monophosphate","RQFCJASXJCIDSX",32.38249999998,362.047570800781,"[M - H]-",0.101081780449249
"1.1","afekta","neg","399","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH",50.12150000001,260.03067452567,"[M - H]-",0.156105945974161
"1.1","afekta","neg","401","guanosine 5'-monophosphate","RQFCJASXJCIDSX",55.24299999999,362.047570800781,"[M - H]-",0.196190749841435
"1.1","afekta","neg","421","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH",112.41699999999,260.03067452567,"[M - H]-",0.0934342283268415
"1.1","cembio","pos","97","carnosine","CQOVPNPJLQNMDC",3.753,227.114105224609,"[M + H]+",0.157415687474939
"1.1","cembio","pos","98","L-lysine","KDXKERNSBIXSRK",4.75000000002,147.11279296875,"[M + H]+",0.139768467287431
"1.1","cembio","pos","112","glutathione","RWSXRVCMGQZWBV",18.69799999998,308.090393066406,"[M + H]+",0.127492920341637
"1.1","cembio","pos","114","N-acetyl-L-cysteine","PWKSKIMOESPYIA",20.691,164.037796020508,"[M + H]+",0.0189499078218579
"1.1","cembio","pos","115","L-lysine","KDXKERNSBIXSRK",21.687,169.094497680664,"[M + Na]+",0.117091923840393
"1.1","cembio","pos","117","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW",23.68000000002,282.034393310547,"[M + Na]+",0.292365814980688
"1.1","cembio","pos","125","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",31.65,211.10400390625,"[M + Na]+",0.15584084001417
"1.1","cembio","pos","127","glutathione","RWSXRVCMGQZWBV",33.64300000002,330.0712890625,"[M + K]+",0.460686630142843
"1.1","cembio","pos","131","L-lysine","KDXKERNSBIXSRK",38.34199999998,147.11279296875,"[M + H]+",0.986769363091129
"1.1","cembio","pos","132","L-valine","KZSNJWFQEVHDMF",39.339,118.086303710938,"[M + H]+",0.205897418370844
"1.1","cembio","pos","133","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW",40.335,260.052398681641,"[M + H]+",0.664841045857358
"1.1","cembio","pos","136","L-citrulline","RHGKLRLOHDJJDR",43.32400000002,176.10319519043,"[M + H]+",0.0140410936856061
"1.1","cembio","pos","138","homocystine","ZTVZLYBCZNMWCF",45.31699999998,269.061706542969,"[M + H]+",0.201039402389744
"1.1","cembio","pos","140","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH",47.30899999998,262.047210693359,"[M + H]+",0.723194355929786
"1.1","cembio","pos","141","uridine 5'-monophosphate","DJJCXFVJDGTHFX",48.306,325.043090820313,"[M + H]+",0.672846611832726
"1.1","cembio","pos","142","guanosine 5'-monophosphate","RQFCJASXJCIDSX",49.302,364.064910888672,"[M + H]+",0.765591154987215
"1.1","cembio","pos","143","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",50.298,189.122299194336,"[M + H]+",0.795734756316913
"1.1","cembio","pos","144","N-alpha-acetyl-L-asparagine","HXFOXFJUNFFYMO",51.29500000002,175.070404052734,"[M + H]+",0.34886553173354
"1.1","cembio","pos","145","glutathione","RWSXRVCMGQZWBV",52.29100000002,308.090393066406,"[M + H]+",0.954151227955975
"1.1","cembio","pos","146","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN",53.28700000002,221.091598510742,"[M + H]+",0.869641490542249
"1.1","cembio","pos","147","N-acetyl-L-cysteine","PWKSKIMOESPYIA",54.28399999998,164.037796020508,"[M + H]+",0.95438449608581
"1.1","cembio","pos","164","L-lysine","KDXKERNSBIXSRK",71.93500000002,147.11279296875,"[M + H]+",0.140655783650888
"1.1","cembio","pos","166","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW",73.92799999998,260.052398681641,"[M + K]+",0.843032152642355
"1.1","cembio","pos","169","L-citrulline","RHGKLRLOHDJJDR",76.917,176.10319519043,"[M + Na]+",0.0292982626590209
"1.1","cembio","pos","171","homocystine","ZTVZLYBCZNMWCF",78.909,269.061706542969,"[M + H]+",0.149396148812223
"1.1","cembio","pos","175","guanosine 5'-monophosphate","RQFCJASXJCIDSX",82.89400000002,364.064910888672,"[M + H]+",0.367119801600507
"1.1","cembio","pos","176","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",83.89099999998,189.122299194336,"[M + H]+",0.679129940803007
"1.1","cembio","pos","180","N-acetyl-L-cysteine","PWKSKIMOESPYIA",87.876,164.037796020508,"[M + H]+",0.860010650628246
"1.1","cembio","pos","182","carnosine","CQOVPNPJLQNMDC",89.86900000002,249.095703125,"[M + H]+",0.120839194862072
