"lab","polarity","anchor_n","replicate","source","apex_rt","areaUnderTic","xicFwhm","maxIntensity","signalToNoiseRatio"
"afekta","neg",1,1,"own",26.33299999998,38891.7066866843,0.59900000004,7034.9375,138.382636732352
"afekta","neg",2,1,"own",28.12900000002,32849.9699788582,1.197,16998.439453125,361.892840912906
"afekta","neg",3,1,"own",33.51499999998,58120.0926260723,2.394,18850.43359375,487.775502719472
"afekta","neg",4,1,"own",50.271,197354.328658774,1.79500000002,63906.4140625,1281.60899773679
"afekta","neg",5,1,"own",117.29599999998,253552.856254895,1.79499999996,84318.4453125,2135.72297893904
"afekta","neg",6,1,"own",201.67600000002,388263.812264969,1.19699999999997,171381.046875,7270.56018941896
"afekta","neg",7,1,"own",245.36200000002,502461.769863946,1.19700000000003,243557.78125,8575.02220237879
"afekta","neg",8,1,"own",279.47299999998,651739.88946374,1.79499999996,306374.6875,15883.2674030355
"afekta","neg",9,1,"own",309.39499999998,765142.111464911,1.19700000000006,357616.03125,8399.04231743846
"afekta","neg",10,1,"own",336.924,860025.122679996,1.79599999997998,396255.3125,7016.01012688169
"afekta","neg",11,1,"own",362.661,883956.873213408,1.79500000001997,410184.8125,5952.79245654317
"afekta","neg",12,1,"own",387.79600000002,986864.37854031,1.197,444084.75,10392.5280386462
"afekta","neg",13,1,"own",411.73300000002,1005191.03104099,1.197,480731.21875,22619.4013181553
"afekta","neg",14,1,"own",435.67099999998,899282.153977988,1.19699999999995,425763.53125,6074.24230736279
"afekta","neg",15,1,"own",459.01000000002,543781.826795387,1.19700000000006,266696.21875,5422.55862760447
"afekta","neg",16,1,"own",482.349,163454.950158774,1.19699999999995,70369.8515625,5902.51642917771
"afekta","neg",17,1,"own",504.498,21122.9931776834,0.598000000019965,9782.1708984375,111.662206016227
"afekta","neg",18,1,"own",526.63999999998,28456.9208388173,0.598000000019965,3866.58831787109,82.445332383119
"afekta","neg",19,1,"own",547.58500000002,68317.121341206,0.598999999980038,9555.61108398438,294.579655497229
"afekta","neg",20,1,"own",567.33400000002,59122.2353548893,1.197,19363.671875,466.838926411804
"afekta","neg",1,2,"own",26.66500000002,26543.9053814041,0.597999999959999,4911.111328125,169.60215444757
"afekta","neg",2,2,"own",27.861,27954.8767994037,1.197,15176.59765625,943.641757098517
"afekta","neg",3,2,"own",33.24700000002,43119.0479948811,1.79500195314001,16071.1787109375,439.891669047404
"afekta","neg",4,2,"own",50.004,136397.616961542,1.79599999998,52977.875,799.575067003094
"afekta","neg",5,2,"own",117.62800000002,210089.820104272,1.79500000002,65205.67578125,2011.10281664825
"afekta","neg",6,2,"own",202.014,317745.594940601,1.19700000000003,135561.296875,4915.15653178251
"afekta","neg",7,2,"own",245.7,436466.738363699,1.19700000000003,207247.0625,9794.8118035947
"afekta","neg",8,2,"own",279.81100000002,538376.504008532,1.79500000001997,251198.9375,2291.19371464192
"afekta","neg",9,2,"own",309.73999999998,656991.546361993,1.19600000003999,321372.71875,14917.7442075995
"afekta","neg",10,2,"own",337.26799999998,756355.96355056,1.19699999999995,362733.34375,10358.5927438863
"afekta","neg",11,2,"own",363.00100000002,790801.554853927,1.19700000000006,391584.875,2433.55528519323
"afekta","neg",12,2,"own",387.537,865950.352299564,1.19700000000006,389948.34375,4763.67040116886
"afekta","neg",13,2,"own",412.07299999998,916723.179091392,1.197,435768.6875,9744.22073083815
"afekta","neg",14,2,"own",435.41200000002,912779.353269986,1.79500000001997,380228.5625,18240.200737925
"afekta","neg",15,2,"own",459.34999999998,500414.027658431,1.19699999999995,234565.546875,5753.92337745319
"afekta","neg",16,2,"own",482.097,151294.063710976,1.79599999997998,65266.78125,698.812122787857
"afekta","neg",17,2,"own",504.837,64399.6709337799,1.197,7437.76953125,328.897526776226
"afekta","neg",18,2,"own",527.57800000002,28410.8313469439,1.79599999997981,2604.501953125,96.3298844207812
"afekta","neg",19,2,"own",547.92499999998,55855.9559517333,0.597999999959939,4950.2763671875,328.821850389632
"afekta","neg",20,2,"own",567.67399999998,42740.014823114,1.79500000001985,14635.6728515625,724.487143252215
