"chrom_peak_id","lab","consensus_id","sample","mzMin","mzMax","rtMin","rtMax","mz","polarity","mixture","into","intb","maxo"
"CP005967","cembio",22,1,497.156020820394,497.204210161879,19.8248667921966,27.2088667921966,497.183790755347,1,"1_1",6335.54057988281,6332.83337988281,5770.4013671875
"CP005994","cembio",62,1,300.072332794555,300.115613983542,19.1478667922166,27.8856667921846,300.094852895652,1,"1_1",15737.0424689036,15732.9813260465,7652.6533203125
"CP005996","cembio",67,1,320.05856758334,320.103090149995,19.8248667921966,27.8856667921846,320.0791728334,1,"1_1",10624.6313625677,10621.2471959011,6928.0732421875
"CP006039","cembio",59,1,84.9391481843953,84.9800111804519,17.7946667922126,28.5600237243795,84.9595170038716,1,"1_1",39244.2871115967,33782.5598568473,17760.162109375
"CP006086","cembio",52,1,251.075556827273,251.121437271104,19.8248667921966,28.5600237243795,251.097894145158,1,"1_1",5068.81919235666,5064.75890664237,2345.63745117188
"CP006153","cembio",11,1,457.109540293529,457.152675143836,21.1778667921966,28.5600237243795,457.130330013135,1,"1_1",10887.4528196356,10884.7464196355,8057.607421875
"CP006276","cembio",56,1,282.013162664419,282.05549349498,19.8248667921966,29.2266661038953,282.035151489425,1,"1_1",83178.1866673639,83138.8299711842,48122.03515625
"CP006278","cembio",61,1,299.0781281281,299.120026340523,19.1478667922166,29.2266661038953,299.099477151437,1,"1_1",42127.5935305745,41983.651580508,20759.8984375
"CP006286","cembio",77,1,378.049500957843,378.091648740637,20.5018667921766,29.2266661038953,378.071172999189,1,"1_1",24713.3632222464,24459.9022340651,10835.8125
"CP006316","cembio",9,1,102.034515696687,102.075111130229,19.1478667922166,29.8937083293613,102.054843133542,1,"1_1",228912.468496875,228050.574529387,68491.421875
"CP006320","cembio",25,1,110.050780308202,110.092028022094,18.4708667921766,29.8937083293613,110.071060866313,1,"1_1",552255.23009925,551552.219808756,279076.40625
"CP006339","cembio",42,1,147.092234184764,147.133087972209,19.1478667922166,29.8937083293613,147.112685255821,1,"1_1",3289476.87736875,3284633.35369143,1513968.625
"CP006428","cembio",60,1,298.075674361533,298.117087790919,19.1478667922166,29.2266661038953,298.096786879178,1,"1_1",272887.744766521,268305.063485493,131928.09375
"CP006502","cembio",35,1,592.023014707393,592.072260572259,23.2088667921966,32.5592549115083,592.048817142421,1,"1_1",5097.08033765817,5092.34308765819,2163.20727539062
"CP006578","cembio",45,1,161.057218508032,161.099095268381,26.5602768202425,33.8929539972561,161.077982884069,1,"1_1",2546.75956992188,2469.44798194111,1410.98425292969
"CP006688","cembio",5,1,401.116318709914,401.164276589052,19.1478667922166,34.5601200452422,401.143851177292,1,"1_1",44534.8798156366,44524.0515821807,13498.68359375
"CP006699","cembio",18,1,482.110131976186,482.153226599922,26.5602768202425,34.5601200452422,482.131697965578,1,"1_1",18058.8001929938,17862.3841519801,12687.279296875
"CP006702","cembio",23,1,507.028763453213,507.074762327938,26.5602768202425,34.5601200452422,507.052308046369,1,"1_1",1824.02842202698,1778.20724045709,825.888488769531
"CP006790","cembio",34,1,586.060884693448,586.104999794445,22.5318667922166,35.8941820639922,586.083018656439,1,"1_1",39642.1137808955,39633.3155666098,16008.0146484375
"CP006839","cembio",66,1,318.976850760588,319.022643405357,23.8856667921846,37.8938627661806,319.000220574746,1,"1_1",24373.1612949573,24363.6870282906,6135.20849609375
"CP006841","cembio",26,1,523.065290873871,523.111846334836,21.8548667921766,35.2271909870428,523.087440340008,1,"1_1",37495.4281657329,37485.9531657329,14341.1767578125
"CP006855","cembio",4,1,399.12396139019,399.165022380461,19.1478667922166,38.560706049475,399.144801838152,1,"1_1",645088.384329817,642302.72328197,218438.1875
"CP006863","cembio",54,1,257.938026633549,257.982928967826,23.8856667921846,39.2275552734946,257.960893598818,1,"1_1",40169.9207444943,40079.8054071758,10378.4345703125
"CP006865","cembio",65,1,310.066689356283,310.110679336905,23.2088667921966,39.2275552734946,310.089004550989,1,"1_1",177492.779413724,177156.727585897,49830.30078125
"CP006866","cembio",72,1,340.038558102573,340.082261313968,23.2088667921966,39.2275552734946,340.060945132987,1,"1_1",77523.324252955,76199.9051870626,22330.77734375
"CP006869","cembio",21,1,490.095473403501,490.138272209855,20.5018667921766,39.2275552734946,490.118021118259,1,"1_1",213985.441373547,213694.040481475,92578.125
"CP006967","cembio",48,1,227.093748303584,227.134316140672,19.1478667922166,38.560706049475,227.114046961181,1,"1_1",2272896.8893333,2271106.80095762,957658.375
"CP006969","cembio",50,1,240.963460815617,241.007797571449,23.2088667921966,43.8951363839181,240.98620415552,1,"1_1",115334.944974341,114429.907688639,21395.634765625
"CP006976","cembio",64,1,309.070458791718,309.11444977268,23.2088667921966,46.5649012973575,309.092832242169,1,"1_1",432334.632536,431217.495737958,115524.265625
"CP007001","cembio",16,1,472.083771843874,472.12911178771,35.8934425386209,47.2327134464475,472.106155663797,1,"1_1",11249.8686853219,10812.8455287393,4005.68090820312
"CP007002","cembio",20,1,489.09168131981,489.135624258947,20.5018667921766,40.5603550705036,489.115344798223,1,"1_1",1317025.23420518,1315856.68112127,572045.0625
"CP007051","cembio",1,1,379.958934614983,380.002537998264,39.2277653194177,50.5710999353043,379.980140602589,1,"1_1",19800.6687583096,19793.9014855823,12889.7041015625
"CP007085","cembio",43,1,148.053509669622,148.095395522111,37.8943695423006,46.5649012973575,148.074455142855,1,"1_1",20673.5714101999,20110.4110728351,9018.458984375
