"lab","polarity","rt_local","consensus_rt","anchor_label"
"afekta","neg",26.499,26.208499999995,"C1-APS"
"afekta","neg",28.0305,27.721249999995,"C2-APS"
"afekta","neg",33.3195,31.524250000005,"C3-APS"
"afekta","neg",50.17250000001,45.951250000005,"C4-APS"
"afekta","neg",118.0785,120.400999999995,"C5-APS"
"afekta","neg",201.65900000001,202.575499999995,"C6-APS"
"afekta","neg",245.8485,246.64425,"C7-APS"
"afekta","neg",279.95950000002,281.175,"C8-APS"
"afekta","neg",309.88150000002,311.07025000002,"C9-APS"
"afekta","neg",337.40950000002,338.359750000005,"C10-APS"
"afekta","neg",363.1425,363.958249999995,"C11-APS"
"afekta","neg",387.69849999999,388.498999999995,"C12-APS"
"afekta","neg",411.903,412.617499999995,"C13-APS"
"afekta","neg",435.5775,436.543249999995,"C14-APS"
"afekta","neg",458.949,460.28625,"C15-APS"
"afekta","neg",482.25549999999,483.83424999999,"C16-APS"
"afekta","neg",504.97599999999,506.796,"C17-APS"
"afekta","neg",526.62249999999,529.51824999999,"C18-APS"
"afekta","neg",547.9905,551.043499999995,"C19-APS"
"afekta","neg",567.27099999999,570.867499999995,"C20-APS"
"afekta","pos",26.82500000001,26.914750000005,"C1-APS"
"afekta","pos",28.44349999998,28.056250000005,"C2-APS"
"afekta","pos",33.77300000001,32.259250000005,"C3-APS"
"afekta","pos",51.95949999999,47.78199999999,"C4-APS"
"afekta","pos",124.8405,127.395748046865,"C5-APS"
"afekta","pos",204.56499999999,205.756499999985,"C6-APS"
"afekta","pos",247.65249999999,249.16725,"C7-APS"
"afekta","pos",282.07600000002,283.63700000001,"C8-APS"
"afekta","pos",311.68599999999,313.500250000005,"C9-APS"
"afekta","pos",339.036,340.541500000005,"C10-APS"
"afekta","pos",364.71849999999,366.072499999995,"C11-APS"
"afekta","pos",389.30799999999,390.549250000005,"C12-APS"
"afekta","pos",413.42650000002,414.790750000005,"C13-APS"
"afekta","pos",437.1855,438.852250000005,"C14-APS"
"afekta","pos",460.52449999998,462.365249999985,"C15-APS"
"afekta","pos",483.60850000002,486.089250000015,"C16-APS"
